Property Name,City,Units,User Adoption (%),Conversion Rate (%),Notes
Redstone Flats,"El Paso, TX",132,4,2,Property manager has not logged in since onboarding. Three voicemails left with no callback.
Canyon View Apartments,"Albuquerque, NM",248,11,5,Owner asked to pause the contract during a budget review. No formal cancellation yet.
Westbrook Landing,"Knoxville, TN",96,21,3,Team trained in February but reverted to manual processes within two weeks.
The Gramercy,"Newark, NJ",180,7,11,New regional director started last month. Interested in a fresh demo but has not committed to a date.
Pinecrest Village,"Spokane, WA",108,26,8,Adoption climbed from 6% to 26% after we replaced their onsite champion. Conversion still flat.
Elm Street Residences,"Des Moines, IA",84,15,1,AI responses are routing to a dead email alias. Support ticket filed but not yet picked up.
Harbor Point Tower,"Norfolk, VA",316,9,16,High-value account. 316 units and the VP of operations is personally involved. Needs executive-level outreach.
Trailside Commons,"Colorado Springs, CO",144,48,6,Team logs in daily but skips the follow-up sequences. Leads go cold after first contact.
The Whitfield,"Providence, RI",172,72,11,Integration with their RealPage instance broke after a March update. Engineering is aware.
Garrison Square,"Fort Worth, TX",290,55,4,Conversion dropped from 19% to 4% over six weeks. Likely a lead source quality issue from their new Zillow feed.
Arbor Glen,"Lexington, KY",116,82,14,High usage across the board but most converted leads are being marked as duplicates in their CRM.
Foundry Row,"Detroit, MI",204,39,17,Right on the edge of the stuck quadrant. One more training session might push conversion past 20%.
Pacific Terrace,"Long Beach, CA",362,65,9,Largest stuck account by unit count. Regional team is frustrated and comparing us to a competitor.
Summit Pointe,"Chattanooga, TN",98,19,28,Product converts well when used. Leasing manager is the only person on the team who touches it.
Clearwater Crossing,"Sarasota, FL",186,8,34,Zero team engagement but the AI handles inbound leads at a 34% clip. Autopilot account.
Rosewood Manor,"Asheville, NC",122,24,41,VP sent an unsolicited testimonial last quarter. Nobody else on the team knows the platform exists.
Bluebird Lofts,"Madison, WI",94,12,23,Adoption dropped from 30% to 12% after their best leasing agent quit. Conversion held steady.
The Kendrick,"Greenville, SC",152,27,47,Highest conversion in the sleeping champion group. If we get two more people using it this account is a reference.
Millstone Creek,"Baton Rouge, LA",138,6,22,Rural market. Small leasing team of two. Low adoption is a staffing constraint, not a product issue.
Oakmont Ridge,"Omaha, NE",224,78,38,Renewed early without being asked. Account manager has a strong personal relationship with the GM.
Crestline Heights,"Durham, NC",168,62,29,Steady performer. No complaints, no expansion interest. Quiet account.
Harborstone Place,"Tacoma, WA",196,44,42,Expansion conversation started two weeks ago. They want to add a second building by August.
The Calloway,"Richmond, VA",258,91,26,Uses every feature including the screening add-on. Their leasing director presented our tool at a regional conference.
Ridgeview Terrace,"Oklahoma City, OK",142,36,21,Just crossed the reference threshold last month. Fragile. Any dip in either metric pushes them back to stuck or sleeping.
Briarcliff Gardens,"Augusta, GA",306,85,44,Top five account. Proactively sends us feedback on AI response quality. Strong case study and referral candidate.
